,state_code,state,county,town,center,center_id,office_id,registered,voted,void,neutral,suffrage,candidate_votes,candidate
0,10,Guidimagha,Ghabou,Baydjam,Ecole Keleyle,7,1,164,120,5,0,115,96,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
1,10,Guidimagha,Ghabou,Baydjam,Ecole Keleyle,7,1,164,120,5,0,115,13,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
2,10,Guidimagha,Ghabou,Baydjam,Ecole Keleyle,7,1,164,120,5,0,115,6,Biram Dah Dah ABEID (Biram)
3,10,Guidimagha,Ghabou,Baydjam,Ecole Keleyle,7,1,164,120,5,0,115,0,Mohamed Sidi MAOULOUD (Maouloud)
4,10,Guidimagha,Ghabou,Baydjam,Ecole Keleyle,7,1,164,120,5,0,115,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
5,10,Guidimagha,Ghabou,Baydjam,Ecole Keleyle,7,1,164,120,5,0,115,0,KANE Hamidou Baba (Kane)
6,9,Tagant,Moudjeria,Moudjeria,Lycée Moudjéria,3,1,401,220,5,1,214,154,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
7,9,Tagant,Moudjeria,Moudjeria,Lycée Moudjéria,3,1,401,220,5,1,214,16,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
8,9,Tagant,Moudjeria,Moudjeria,Lycée Moudjéria,3,1,401,220,5,1,214,16,Biram Dah Dah ABEID (Biram)
9,9,Tagant,Moudjeria,Moudjeria,Lycée Moudjéria,3,1,401,220,5,1,214,27,Mohamed Sidi MAOULOUD (Maouloud)
10,9,Tagant,Moudjeria,Moudjeria,Lycée Moudjéria,3,1,401,220,5,1,214,1,Mohamed Lemine El Mourteji El WAVI (Wavi)
11,9,Tagant,Moudjeria,Moudjeria,Lycée Moudjéria,3,1,401,220,5,1,214,0,KANE Hamidou Baba (Kane)
12,5,Brakna,Boghé,Boghé,RACHID,28,1,86,77,0,0,77,71,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
13,5,Brakna,Boghé,Boghé,RACHID,28,1,86,77,0,0,77,5,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
14,5,Brakna,Boghé,Boghé,RACHID,28,1,86,77,0,0,77,0,Biram Dah Dah ABEID (Biram)
15,5,Brakna,Boghé,Boghé,RACHID,28,1,86,77,0,0,77,0,Mohamed Sidi MAOULOUD (Maouloud)
16,5,Brakna,Boghé,Boghé,RACHID,28,1,86,77,0,0,77,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
17,5,Brakna,Boghé,Boghé,RACHID,28,1,86,77,0,0,77,1,KANE Hamidou Baba (Kane)
18,2,Hodh El Gharbi,Tintane,Devaa,Ecole Medina Mounawara,6,1,196,164,2,0,162,156,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
19,2,Hodh El Gharbi,Tintane,Devaa,Ecole Medina Mounawara,6,1,196,164,2,0,162,6,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
20,2,Hodh El Gharbi,Tintane,Devaa,Ecole Medina Mounawara,6,1,196,164,2,0,162,0,Biram Dah Dah ABEID (Biram)
21,2,Hodh El Gharbi,Tintane,Devaa,Ecole Medina Mounawara,6,1,196,164,2,0,162,0,Mohamed Sidi MAOULOUD (Maouloud)
22,2,Hodh El Gharbi,Tintane,Devaa,Ecole Medina Mounawara,6,1,196,164,2,0,162,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
23,2,Hodh El Gharbi,Tintane,Devaa,Ecole Medina Mounawara,6,1,196,164,2,0,162,0,KANE Hamidou Baba (Kane)
24,8,Dakhlet Nouadhibou,Chami,Chami,Dispensaire Chami,1,3,559,149,2,0,147,72,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
25,8,Dakhlet Nouadhibou,Chami,Chami,Dispensaire Chami,1,3,559,149,2,0,147,58,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
26,8,Dakhlet Nouadhibou,Chami,Chami,Dispensaire Chami,1,3,559,149,2,0,147,13,Biram Dah Dah ABEID (Biram)
27,8,Dakhlet Nouadhibou,Chami,Chami,Dispensaire Chami,1,3,559,149,2,0,147,3,Mohamed Sidi MAOULOUD (Maouloud)
