office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes
Ecole Keleyle,Ghabou,Guidimagha,164,120,5,0,115,96,6,0,0,0,13
Lycée Moudjéria,Moudjeria,Tagant,401,220,5,1,214,154,16,27,0,1,16
RACHID,Boghé,Brakna,86,77,0,0,77,71,0,0,1,0,5
Ecole Medina Mounawara,Tintane,Hodh El Gharbi,196,164,2,0,162,156,0,0,0,0,6
Dispensaire Chami,Chami,Dakhlet Nouadhibou,559,149,2,0,147,72,13,3,1,0,58
Ecole Touajil,F'Deirick,Tiris Zemmour,236,164,2,0,162,93,10,2,6,0,51
Tayba,Rosso,Trarza,80,78,8,0,70,49,15,2,1,0,3
Ecole 2,Amourj,Hodh Chargui,452,187,7,1,179,134,3,1,0,2,39
El Beled El Emin,Ouad Naga,Trarza,157,78,1,0,77,22,1,1,0,0,53
Hsey Lebyadh,Bassiknou,Hodh Chargui,308,136,5,2,129,95,7,1,2,1,23
Ecole 1,F'Deirick,Tiris Zemmour,312,129,1,2,126,65,11,3,1,1,45
Ecole 2 Moudjeria,Moudjeria,Tagant,329,196,6,0,190,152,7,12,1,0,18
Elevage,Tamcheket,Hodh El Gharbi,429,264,12,0,252,199,22,5,0,0,26
Dispensaire Seif,Kiffa,Assaba,411,183,3,3,177,134,25,4,1,1,12
Ecole 1,Aleg,Brakna,238,166,6,3,157,76,33,1,7,0,40
Ecole 1,M'Bout,Gorgol,525,277,9,2,266,112,112,5,17,1,19
Daghvegue,Boghé,Brakna,413,325,9,0,316,68,222,2,3,1,20
Ecole N'deija,Rosso,Trarza,202,146,0,0,146,27,4,5,2,1,107
Ecole Fondamentale,Ouad Naga,Trarza,508,133,1,6,126,38,23,2,8,0,55
Ecole 2 Boghé,Boghé,Brakna,374,272,5,4,263,91,87,8,69,0,8
Avernane,Aleg,Brakna,161,103,1,0,102,85,7,1,0,0,9
Hsey Lebyadh,Bassiknou,Hodh Chargui,308,148,11,4,133,83,9,2,2,1,36
Lohiat,Bassiknou,Hodh Chargui,220,123,0,0,123,120,1,0,0,0,2
Hotel de Ville,Bassiknou,Hodh Chargui,410,183,10,3,170,131,10,4,5,0,20
Dispensaire Chami,Chami,Dakhlet Nouadhibou,559,120,3,1,116,52,17,3,1,0,43
El Haye Al Idari,Timbedra,Hodh Chargui,318,150,11,0,139,87,3,8,1,4,36
Oum Nour,Amourj,Hodh Chargui,370,254,0,4,250,232,3,1,1,1,12
Pont,Koubenni,Hodh El Gharbi,374,176,1,1,174,80,4,1,2,3,84
Ecole 1,Bassiknou,Hodh Chargui,413,234,11,0,223,180,26,0,2,0,15
Ecole Voum El Kouz,Moudjeria,Tagant,422,210,7,5,198,78,52,3,2,1,62
Ecole 2 Achram,Moudjeria,Tagant,551,315,6,1,308,241,6,3,0,0,58
Lawenatt,Koubenni,Hodh El Gharbi,202,154,5,0,149,118,6,2,1,0,22
Ecole N° 1,Mederdra,Trarza,418,261,2,1,258,120,25,7,1,1,104
Ecole EL Meimoune,R'Kiz,Trarza,72,37,2,0,35,25,0,2,1,1,6
Ecole 8,Ksar,Nouakchott Ouest,130,78,1,0,77,45,11,2,4,0,15
Oum Nour,Amourj,Hodh Chargui,369,241,0,0,241,233,0,1,1,0,6
Ecole Mekanet 1,Kiffa,Assaba,62,65,0,1,64,62,2,0,0,0,0
Ecole Guebbou,Moudjeria,Tagant,316,237,0,3,234,194,1,0,2,2,35
Dar El khadra,Boghé,Brakna,154,124,3,2,119,54,55,0,2,0,8
Ecole Aleh Yasser,Koubenni,Hodh El Gharbi,444,222,4,0,218,119,31,4,3,0,61
Hôtel de Ville,Kiffa,Assaba,379,163,6,3,154,49,29,16,23,1,36
Ecole 2,Monguel,Gorgol,565,251,7,1,243,135,68,8,4,0,28
mbeidaa tebeile,Boghé,Brakna,142,104,1,0,103,81,17,1,1,0,3
Mbire,Bassiknou,Hodh Chargui,381,179,5,2,172,150,1,0,0,1,20
Ecole Hamad,Riyad,Nouakchott Sud,380,235,7,3,225,106,48,18,4,5,44
Ecole Tifondé Civé,Kaédi,Gorgol,430,372,4,5,363,175,32,0,150,0,6
Dispensaire Chami,Chami,Dakhlet Nouadhibou,559,148,3,1,144,77,9,1,0,0,57
Guwawine Ivoulane,Koubenni,Hodh El Gharbi,56,45,3,2,40,20,0,0,17,0,3
Magham ibrahim,Ouad Naga,Trarza,101,68,1,5,62,11,2,1,0,0,48
Ecole 4,Boghé,Brakna,486,353,10,3,340,75,165,3,47,0,50
Centre d'Accueil des Citoyens,Kiffa,Assaba,461,243,1,2,240,81,49,2,10,1,97
N'tarech,Keur Macène,Trarza,191,110,1,0,109,75,7,3,0,1,23
Ecole N'Takat,Guerou,Assaba,419,159,10,1,148,99,2,1,0,0,46
Ecole Nbeika,Keur Macène,Trarza,489,387,10,0,377,154,13,30,1,1,178
Lycée de Boghé,Boghé,Brakna,303,229,3,2,224,50,68,15,64,1,26
Ecole Syassa,Kiffa,Assaba,435,273,8,0,265,200,43,6,1,0,15
Collège 1,Nouadhibou,Dakhlet Nouadhibou,449,362,4,7,351,127,87,12,25,2,98
Bir El Barka,Kaédi,Gorgol,110,82,0,0,82,35,45,0,1,0,1
El Arch,N'beiket Lahwach,Hodh Chargui,209,181,12,1,168,156,1,0,0,9,2
El Haramaine,Kiffa,Assaba,526,294,0,0,294,268,4,2,0,0,20
Dar Elmouna,Ouad Naga,Trarza,69,15,0,0,15,11,0,0,0,0,4
Ecole Cheikh Souleymane Ball,Sebkha,Nouakchott Ouest,262,183,6,2,175,24,83,2,56,1,9
Ecole 2 Achram,Moudjeria,Tagant,553,297,4,0,293,235,6,2,0,0,50
Bureaux SONIMEX,Rosso,Trarza,342,260,8,1,251,83,111,7,1,0,49
Ecole Chiyé 2,Ghabou,Guidimagha,366,234,12,0,222,82,75,3,5,0,57
Ecole Dar Esselama,Boghé,Brakna,550,361,6,5,350,217,3,1,123,1,5
Ecole El Kheiriya,Rosso,Trarza,399,311,15,0,296,79,184,3,11,0,19
Tourgueleine Argoub,Moudjeria,Tagant,219,183,2,0,181,157,4,2,0,0,18
