,index,county_code,county,state_code,lat,lng
0,3,101,Néma,1,16.6143698,-7.2598913
1,4,102,Amourj,1,15.8482333,-7.265285799999999
2,5,103,Bassiknou,1,15.861876,-5.9541824
3,6,104,Djiguenni,1,15.8936801,-8.5721016
4,7,105,Timbedra,1,16.2416594,-8.1720989
5,8,106,Oualata,1,17.2990071,-7.0216191
6,9,107,N'beiket Lahwach,1,16.659236,-5.780245
7,10,201,Aïoun,2,16.6592113,-9.606300599999999
8,11,202,Tamcheket,2,17.2455802,-10.6696393
9,12,203,Koubenni,2,16.6912149,-9.5450974
10,13,204,Tintane,2,16.3874962,-10.1759285
11,14,301,Kiffa,3,16.6258353,-11.4055282
12,15,302,Kankoussa,3,15.92703,-11.52404
13,16,303,Boumdeid,3,17.8163547,-11.2523792
14,17,304,Guerou,3,16.833521,-11.8378563
15,18,305,Barkéol,3,16.65,-12.5
16,19,401,Kaédi,4,16.1535575,-13.5032081
17,20,402,Monguel,4,16.3732692,-13.1524088
18,21,403,Maghama,4,15.5121868,-12.8486076
19,22,404,M'Bout,4,16.0233078,-12.5785722
20,23,501,Aleg,5,17.0516148,-13.9114989
21,24,502,Bababé,5,16.3460472,-13.9463043
22,25,503,M'Bagne,5,16.15177,-13.77648
23,26,504,Magtalahjar,5,17.8008671,-12.989615
24,27,505,Boghé,5,16.5950699,-14.2599437
25,28,601,Rosso,6,16.5163413,-15.802612
26,29,602,Ouad Naga,6,17.9644686,-15.5195954
27,30,603,Keur Macène,6,16.5583683,-16.2330925
28,31,604,R'Kiz,6,16.917894,-15.2370339
29,32,605,Boutilimit,6,17.5489081,-14.6966832
30,33,606,Mederdra,6,16.9225153,-15.6617813
31,34,701,Atar,7,20.5072923,-13.052978
32,35,702,Aoujeft,7,20.0265559,-13.0544185
33,36,703,Ouadane,7,20.9317455,-11.6200436
34,37,704,Chinguitti,7,20.4615121,-12.3664341
35,38,801,Nouadhibou,8,20.9425179,-17.0362272
36,39,802,Chami,8,20.0508333,-15.9675
37,40,901,Tidjikja,9,18.5565495,-11.4310758
38,41,902,Moudjeria,9,17.88069,-12.33004
39,42,903,Tichit,9,18.44005,-9.495773
40,43,1001,Sélibaby,10,15.1506088,-12.1804261
41,44,1002,Ould Yengé,10,15.7316183,-11.9804613
42,45,1003,Ghabou,10,14.852278,-12.080589
43,46,1101,Zoueratt,11,22.7325323,-12.4753205
44,47,1102,F'Deirick,11,22.6786807,-12.7106394
45,48,1103,Bir Moghrein,11,25.2322352,-11.5788103
46,49,1201,Akjoujt,12,19.7461122,-14.3879205
47,50,1202,Bennechab,12,19.4713857,-15.4287738
48,51,1301,Tevragh Zeina,13,18.110344,-15.9993672
49,52,1302,Sebkha,13,18.0748173,-16.0111203
50,53,1303,Ksar,13,18.1054371,-15.9552997
51,54,1401,Dar Naïm,14,18.1047891,-15.9288641
52,55,1402,Toujounine,14,18.0722243,-15.9053689
53,56,1403,Teyaret,14,18.1299535,-15.9376756
54,57,1501,Arafat,15,18.0505073,-15.9582372
55,58,1502,El Mina,15,18.0631615,-15.9788011
56,59,1503,Riyad,15,18.0087395,-15.9758633
