office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes,gaz_perct,biram_perct,mewloud_perct,kane_perct,wavi_perct,boubacar_perct,turnout
Ecole Keleyle,Ghabou,Guidimagha,164,120,5,0,115,96,6,0,0,0,13,0.8347826086956521,0.05217391304347826,0.0,0.0,0.0,0.11304347826086956,73.17
Lycée Moudjéria,Moudjeria,Tagant,401,220,5,1,214,154,16,27,0,1,16,0.719626168224299,0.07476635514018691,0.1261682242990654,0.0,0.004672897196261682,0.07476635514018691,54.86
RACHID,Boghé,Brakna,86,77,0,0,77,71,0,0,1,0,5,0.922077922077922,0.0,0.0,0.012987012987012988,0.0,0.06493506493506493,89.53
Ecole Medina Mounawara,Tintane,Hodh El Gharbi,196,164,2,0,162,156,0,0,0,0,6,0.9629629629629629,0.0,0.0,0.0,0.0,0.037037037037037035,83.67
Dispensaire Chami,Chami,Dakhlet Nouadhibou,559,149,2,0,147,72,13,3,1,0,58,0.4897959183673469,0.08843537414965986,0.02040816326530612,0.006802721088435374,0.0,0.3945578231292517,26.65
Ecole Touajil,F'Deirick,Tiris Zemmour,236,164,2,0,162,93,10,2,6,0,51,0.5740740740740741,0.06172839506172839,0.012345679012345678,0.037037037037037035,0.0,0.3148148148148148,69.49
Tayba,Rosso,Trarza,80,78,8,0,70,49,15,2,1,0,3,0.7,0.21428571428571427,0.02857142857142857,0.014285714285714285,0.0,0.04285714285714286,97.5
Ecole 2,Amourj,Hodh Chargui,452,187,7,1,179,134,3,1,0,2,39,0.7486033519553073,0.01675977653631285,0.00558659217877095,0.0,0.0111731843575419,0.21787709497206703,41.37
El Beled El Emin,Ouad Naga,Trarza,157,78,1,0,77,22,1,1,0,0,53,0.2857142857142857,0.012987012987012988,0.012987012987012988,0.0,0.0,0.6883116883116883,49.68
Hsey Lebyadh,Bassiknou,Hodh Chargui,308,136,5,2,129,95,7,1,2,1,23,0.7364341085271318,0.05426356589147287,0.007751937984496124,0.015503875968992248,0.007751937984496124,0.17829457364341086,44.16
Ecole 1,F'Deirick,Tiris Zemmour,312,129,1,2,126,65,11,3,1,1,45,0.5158730158730159,0.0873015873015873,0.023809523809523808,0.007936507936507936,0.007936507936507936,0.35714285714285715,41.35
Ecole 2 Moudjeria,Moudjeria,Tagant,329,196,6,0,190,152,7,12,1,0,18,0.8,0.03684210526315789,0.06315789473684211,0.005263157894736842,0.0,0.09473684210526316,59.57
Elevage,Tamcheket,Hodh El Gharbi,429,264,12,0,252,199,22,5,0,0,26,0.7896825396825397,0.0873015873015873,0.01984126984126984,0.0,0.0,0.10317460317460317,61.54
Dispensaire Seif,Kiffa,Assaba,411,183,3,3,177,134,25,4,1,1,12,0.7570621468926554,0.14124293785310735,0.022598870056497175,0.005649717514124294,0.005649717514124294,0.06779661016949153,44.53
Ecole 1,Aleg,Brakna,238,166,6,3,157,76,33,1,7,0,40,0.4840764331210191,0.21019108280254778,0.006369426751592357,0.044585987261146494,0.0,0.25477707006369427,69.75
Ecole 1,M'Bout,Gorgol,525,277,9,2,266,112,112,5,17,1,19,0.42105263157894735,0.42105263157894735,0.018796992481203006,0.06390977443609022,0.0037593984962406013,0.07142857142857142,52.76
Daghvegue,Boghé,Brakna,413,325,9,0,316,68,222,2,3,1,20,0.21518987341772153,0.7025316455696202,0.006329113924050633,0.00949367088607595,0.0031645569620253164,0.06329113924050633,78.69
Ecole N'deija,Rosso,Trarza,202,146,0,0,146,27,4,5,2,1,107,0.18493150684931506,0.0273972602739726,0.03424657534246575,0.0136986301369863,0.00684931506849315,0.7328767123287672,72.28
Ecole Fondamentale,Ouad Naga,Trarza,508,133,1,6,126,38,23,2,8,0,55,0.30158730158730157,0.18253968253968253,0.015873015873015872,0.06349206349206349,0.0,0.4365079365079365,26.18
Ecole 2 Boghé,Boghé,Brakna,374,272,5,4,263,91,87,8,69,0,8,0.34600760456273766,0.33079847908745247,0.030418250950570342,0.2623574144486692,0.0,0.030418250950570342,72.73
Avernane,Aleg,Brakna,161,103,1,0,102,85,7,1,0,0,9,0.8333333333333334,0.06862745098039216,0.00980392156862745,0.0,0.0,0.08823529411764706,63.98
Hsey Lebyadh,Bassiknou,Hodh Chargui,308,148,11,4,133,83,9,2,2,1,36,0.6240601503759399,0.06766917293233082,0.015037593984962405,0.015037593984962405,0.007518796992481203,0.2706766917293233,48.05
Lohiat,Bassiknou,Hodh Chargui,220,123,0,0,123,120,1,0,0,0,2,0.975609756097561,0.008130081300813009,0.0,0.0,0.0,0.016260162601626018,55.91
Hotel de Ville,Bassiknou,Hodh Chargui,410,183,10,3,170,131,10,4,5,0,20,0.7705882352941177,0.058823529411764705,0.023529411764705882,0.029411764705882353,0.0,0.11764705882352941,44.63
Dispensaire Chami,Chami,Dakhlet Nouadhibou,559,120,3,1,116,52,17,3,1,0,43,0.4482758620689655,0.14655172413793102,0.02586206896551724,0.008620689655172414,0.0,0.3706896551724138,21.47
El Haye Al Idari,Timbedra,Hodh Chargui,318,150,11,0,139,87,3,8,1,4,36,0.6258992805755396,0.02158273381294964,0.05755395683453238,0.007194244604316547,0.02877697841726619,0.2589928057553957,47.17
Oum Nour,Amourj,Hodh Chargui,370,254,0,4,250,232,3,1,1,1,12,0.928,0.012,0.004,0.004,0.004,0.048,68.65
Pont,Koubenni,Hodh El Gharbi,374,176,1,1,174,80,4,1,2,3,84,0.45977011494252873,0.022988505747126436,0.005747126436781609,0.011494252873563218,0.017241379310344827,0.4827586206896552,47.06
Ecole 1,Bassiknou,Hodh Chargui,413,234,11,0,223,180,26,0,2,0,15,0.8071748878923767,0.11659192825112108,0.0,0.008968609865470852,0.0,0.06726457399103139,56.66
Ecole Voum El Kouz,Moudjeria,Tagant,422,210,7,5,198,78,52,3,2,1,62,0.3939393939393939,0.26262626262626265,0.015151515151515152,0.010101010101010102,0.005050505050505051,0.31313131313131315,49.76
Ecole 2 Achram,Moudjeria,Tagant,551,315,6,1,308,241,6,3,0,0,58,0.7824675324675324,0.01948051948051948,0.00974025974025974,0.0,0.0,0.18831168831168832,57.17
Lawenatt,Koubenni,Hodh El Gharbi,202,154,5,0,149,118,6,2,1,0,22,0.7919463087248322,0.040268456375838924,0.013422818791946308,0.006711409395973154,0.0,0.1476510067114094,76.24
Ecole N° 1,Mederdra,Trarza,418,261,2,1,258,120,25,7,1,1,104,0.46511627906976744,0.09689922480620156,0.027131782945736434,0.003875968992248062,0.003875968992248062,0.40310077519379844,62.44
Ecole EL Meimoune,R'Kiz,Trarza,72,37,2,0,35,25,0,2,1,1,6,0.7142857142857143,0.0,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.17142857142857143,51.39
Ecole 8,Ksar,Nouakchott Ouest,130,78,1,0,77,45,11,2,4,0,15,0.5844155844155844,0.14285714285714285,0.025974025974025976,0.05194805194805195,0.0,0.19480519480519481,60.0
Oum Nour,Amourj,Hodh Chargui,369,241,0,0,241,233,0,1,1,0,6,0.966804979253112,0.0,0.004149377593360996,0.004149377593360996,0.0,0.024896265560165973,65.31
Ecole Mekanet 1,Kiffa,Assaba,62,65,0,1,64,62,2,0,0,0,0,0.96875,0.03125,0.0,0.0,0.0,0.0,104.84
Ecole Guebbou,Moudjeria,Tagant,316,237,0,3,234,194,1,0,2,2,35,0.8290598290598291,0.004273504273504274,0.0,0.008547008547008548,0.008547008547008548,0.14957264957264957,75.0
Dar El khadra,Boghé,Brakna,154,124,3,2,119,54,55,0,2,0,8,0.453781512605042,0.46218487394957986,0.0,0.01680672268907563,0.0,0.06722689075630252,80.52
Ecole Aleh Yasser,Koubenni,Hodh El Gharbi,444,222,4,0,218,119,31,4,3,0,61,0.5458715596330275,0.14220183486238533,0.01834862385321101,0.013761467889908258,0.0,0.2798165137614679,50.0
