state,total_registered,voted,void,neutral,suffrage,perct_turnout
Adrar,44539.0,25413.0,681.0,178.0,24554.0,0.5705785940411774
Assaba,132716.0,72125.0,2496.0,305.0,69324.0,0.5434536905874198
Brakna,147990.0,95018.0,2760.0,1350.0,90908.0,0.6420568957361984
Dakhlet Nouadhibou,72928.0,48931.0,1009.0,491.0,47431.0,0.6709494295743748
Etranger,20457.0,10248.0,211.0,92.0,9945.0,0.5009532189470597
Gorgol,108092.0,69051.0,2432.0,945.0,65674.0,0.6388169337231248
Guidimagha,73480.0,49200.0,1958.0,573.0,46669.0,0.6695699510070767
Hodh Chargui,163726.0,95401.0,2809.0,336.0,92256.0,0.5826869281604632
Hodh El Gharbi,124963.0,71831.0,1849.0,243.0,69739.0,0.5748181461712667
Inchiri,16699.0,9614.0,193.0,94.0,9327.0,0.5757230971914485
Nouakchott Nord,118887.0,76251.0,2368.0,824.0,73059.0,0.641373741451967
Nouakchott Ouest,119134.0,76296.0,2395.0,1164.0,72737.0,0.6404217100072188
Nouakchott Sud,139305.0,103081.0,3205.0,1472.0,98404.0,0.739966261081799
Tagant,43083.0,27198.0,549.0,152.0,26497.0,0.6312930854397326
Tiris Zemmour,31420.0,20731.0,575.0,174.0,19982.0,0.6598026734563972
Trarza,186713.0,117205.0,3310.0,1091.0,112804.0,0.6277281174851242
